level,prompt,answer,answer2,answered,id
14,display the usage of disk capacity in human readable format,df -h,,FALSE,2
14,display usage of inodes capacity in the filesystem,df -i,,FALSE,3
14,display usage of disk capacity for all currently mounted filesystems along with file system type,df -T,,FALSE,4
15,display the value of all environmental variables for the current environment,env,printenv,FALSE,1
15,execute the command ‘ls’ with all environmental variables turned off,env -i ls,,FALSE,2
15,echo an environmental variable for the shell used,echo $SHELL,,FALSE,3
15,set an environmental variable for the session to ‘MYVAR=10’,export MYVAR=10,,FALSE,4
15,echo the value of MYVAR to terminal,echo $MYVAR,echo “$MYVAR”,FALSE,5
15,remove the variable MYVAR from the current environment,unset MYVAR,,FALSE,6
15,use export to display all variables declared in the current environment,export -p,export,FALSE,7
15,display all local variables and function declarations,set,,FALSE,8
16,print the last 10 lines of file ‘longfile’ to standard out,tail longfile,,FALSE,1
16,print the last 20 lines of file ‘longfile’ to standard out,tail -n 20 longfile,,FALSE,2
16,continually check the last 10 lines of the file ‘longfile’ and print changes (Ctrl + C to exit),tail -f longfile,,FALSE,3
16,clear the terminal window,clear,,FALSE,4
16,list the system log files (in ubuntu check /var/log ),ls /var/log,,FALSE,5
16,print the last 10 lines of the syslog file,tail /var/log/syslog,,FALSE,6
